,mouse,day,led,post_led,trial_type
0,mhb99,10,"[0.2669379720235149, -0.2585056732486569, -0.1838321823776258, 0.37734096289802604, -0.14779498232138838, -0.23124433234309114, -0.04618942620753865, -0.1569620149179286, -0.04117497210818675, -0.33636062185393806, -0.1650536567920351, 0.6171374067412194, 1.3424984917917373, 0.07068368818264012, -0.2819599823704189, 0.29818786197950636, -0.34333871950542466, 0.9006274527214227, -0.4538784297974332, 0.7369072647955061, 0.04848966383351823, 0.4655413034079499, 1.4619048461116024, 0.17787636034619028, -0.4699688228096439, 0.05521579285605153, -0.29866987579573245, 1.0559730573109827, -0.000746240574078839, 0.649867741329498, -0.4461730598206164, 0.19918024007810947, -0.1958524552057553, 0.43185684479901293, -0.056555987082662275, -0.4964471864159426, -0.08339296097163205, -0.35024081376275307, 0.1332011118826674, -0.40003582856176373, 1.1546722300150452, 1.0590660499693876, 0.3451314279903788, 0.5018052858459717, 1.3959701968245404, -0.004493861771263296, -0.1804217575945052, -0.22165552661386934, -0.08117976267413128, 0.4698528434401325, 0.04568521126929114, 1.3296804018556478, 0.40878832598266024, -0.5314412629181107, 0.5509591078080236, 0.7670927643673926, 0.12615409866232571, 0.2723790594641078, 0.20108168596783035, -0.5773463109674861, -0.11195858012773473, -0.10525266058803132, -0.8082306812705898]","[-0.11664438790896514, 0.5516958136806037, 0.5208591845575279, 0.1461107121495116, 0.18440567671767752, -0.18524792763093384, 0.6478706513218739, -0.3323018712235236, 0.11379376190387937, 0.2591207903315791, -0.20702513006912898, 0.27655252041735645, 0.49380512276204747, 0.19682025259468822, 0.4655899579015831, -0.4257261775003608, 0.20324699532764792, 0.18529361527601096, -0.1895198282313685, -0.39552158256008907, -0.23114081599490524, 0.028706311600237535, 2.061031644481358, 0.36434922894882227, -0.35692060789239094, 0.08786065382276474, 0.2598162615420027, -0.28918569154063295, 0.1510327063664986, -0.18214539522828294, 0.7471446412188983, -0.22994693823875376, 0.1974859441658421, -0.40239375862516047, 0.7058343883778079, -0.11530517962880402, 0.09762128982462763, -0.353304264944766, 0.70771656743253, -0.4123627143257528, 0.004776319677038324, -0.26217231632045385, 0.5175599917121438, -0.13611823126009903, 0.13560396199174796, 0.3725259150730923, -0.3064184490326191, 0.3517197580566278, 0.38798600865949384, -0.1606677911944425, 0.1464997577288699, -0.24522461015379202, -0.0888256189605923, -0.2711249403653826, -0.35752230401624624, -0.06017291342519964, 0.4169017514465778, 0.1194993555315569, -0.24896677354657173, -0.015631514446685184, -0.17547662091855756, -0.16172360367720168, -0.2297513720802392]",sucrose
1,mhb99,10,"[1.6993101934267762, -0.5117923042764482, -0.17897484472000685, -0.1087610753412696, 0.043533423086819754, 0.3364741006752461, -0.2460675893909598, -0.44334365955703126, 0.5237181557994031, -0.2533532930693982, -0.4998018940516818, -0.17803646237534898, -0.015242752459205502, -0.4224117716286285, 0.6939079789541873, -0.16695880484809758, -0.2637396763640943, 0.2872912859313574, 0.34876659137238314, 0.011740502223876728, -0.3913796713627968, 0.6339002346306075, -0.5451557054582734, -0.3719947481427294, -0.41453219805314084, -0.23212896041039455, -0.043126990468654446, -0.12144512867693628, -0.3707757560420689, -0.13827874899348036, 0.02458687902476262, -0.036795522657851125, -0.007456028830491235, 1.0782519058335749, -0.15735351427083624, -0.29324652354712827, 0.5488591573569487, -0.3556450854708004, -0.36847880983480913, -0.39867074803251606, 0.09973819862311166, -0.16021153081738645, -0.3577777425126103, -0.17985556802236655, 0.8555287413219244, -0.11167306092715219, -0.22927099581328494, -0.23172193982953856, 0.021741121181527163, 0.6023865444734309, 0.28497458459892566, 0.1966134446789234, 0.6888412208160185, -0.11295304456690478, -0.5538881401182209, 0.19639457779650268, -0.2799007052712083, 0.05596061444156559, 1.0908160416614914, -0.09806517971617895, 0.17555101420158095, 0.3864836451167126, -0.5871246033653984]","[-0.1299257214614724, -0.2632307136920791, -0.21882232529915474, -0.20678805195366542, -0.18426524352107945, -0.4477427240136028, -0.20054740460105952, -0.34886661822635934, 0.17447830789202443, -0.3314332264803822, -0.2026731263217991, -0.3674961302846872, -0.3286447529295931, -0.5399754624627037, 0.10917816694707827, 0.4512740868187019, 2.2884235675894646, -0.4350842989474468, -0.2767139939922936, -0.21247608035966037, -0.4324567630660974, -0.331496419212642, -0.37059909338026836, 0.2670645212522408, 0.29566487285858895, 0.6371098912128556, 0.26781158350079104, -0.17625993191191497, -0.16192907614722532, 0.15843102654771024, 0.06167679364170817, 0.7059324098444425, -0.015362996893039636, -0.551825937425448, 0.6674196461653548, 0.27439462311935847, -0.3726310874699131, 0.4528955649039337, 0.5222187003039459, -0.41657313397997253, -0.30669564786313314, -0.25971949990937804, -0.20287448528287572, -0.5301903855974515, -0.7387074282605681, -0.46058162084084275, -0.3944155208112285, -0.10365409020692784, 1.424903445850843, -0.5152007485690571, -0.4785034065315273, 0.5972337796637458, -0.2657093131871061, -0.4273165959670985, -0.4886447620701929, 1.217099508157236, 0.27179486508806194, -0.4879527092102372, 0.08019263019582787, -0.3600901482252075, -0.006424622137482432, -0.1300321682901531, -0.2734728881909008]",sucrose
2,mhb99,10,"[0.22070759006621687, -0.22716414440288127, 0.5128114161991533, -0.5349027133059212, 1.1171723576468704, -0.313766766670478, -0.4383214534190663, -0.31352808919257136, -0.16881549155544764, -0.09571702657115518, -0.26619844055236785, 0.4032465340419513, -0.13642190253112696, 1.6468401136889697, 0.42704625521512696, -0.8267461815779038, -0.03860145194122468, -0.014049627880099873, 0.3650113569493096, -0.025503929052104135, -0.444950723494884, -0.04224525197185719, 0.06825482170459415, 0.986192416449067, -0.33680104466142446, 0.3705405824717031, 0.029426243620369254, -0.3925153496214829, -0.39688488022798296, 0.1267813469891021, -0.1183556303567806, 2.3367812775083134, -0.2348055626032617, -0.3487952193393973, -0.1810920197101641, 0.31461267811371607, 0.1954100832216732, -0.18203272015983907, -0.36497166323915164, -0.03347325391605131, -0.20363119150393608, 0.892741901217752, 0.027109985302483014, -0.09898254246337305, 0.9041093004757965, 0.361806601846331, -0.3636682112762709, -0.22917579431396073, -0.06360897282104824, -0.06905687768801279, -1.2219632617494527, -0.29380472789834333, 0.8127216662218392, -0.5052931616024106, -0.5193716248563558, 0.11358601791917794, -0.2234988168210285, -0.574454705762414, -0.09001287723842062, -0.6503316749658693, -0.09185448978190819, 2.488159230836927, 0.0691106741456226]","[-0.11146067711190079, 0.001825720951967701, 0.2774823229010049, -0.42167097344536414, 0.19672088512352023, 0.35172062723900277, -0.36425851938009374, -0.41526081333881476, -0.21912800847363073, -0.26144652999032375, -0.15581651332423166, -0.12486500491366075, -0.2166901412959856, -0.45997934473764834, -0.47712746309996473, -0.08312763737089879, -0.33788172149951123, -0.2943398410624301, -0.3392393517050903, -0.21635071827010796, -0.38707460898990503, 0.9072911198210758, 0.15113908300933948, -0.05569063596352175, -0.09693226653810452, -0.41031553260633086, -0.18988249631280338, -0.42519958310345385, 0.20483499764842242, -0.17155865337217074, -0.2589813902804304, -0.15032754447462565, -0.20335687130694866, 0.2748186367314958, -0.6259969408388149, -0.3799598824177605, 0.06539491460843562, -0.5691535114911852, -0.2684008815717894, -0.015002836463745882, 0.2901821104531723, -0.1017022779913502, -0.6001029822549168, -0.2450302768814942, -0.3888557573186319, 0.7865531628465969, -0.1784431507836452, -0.40092596330966607, -0.08372602827600131, -0.02631568745938432, -0.13234600286429882, 0.09149205199928467, -0.2737643155908636, -0.3427640559682456, -0.5209949366318555, 0.03653844931700218, -0.2860505357435048, 0.03131352840464378, -0.41507153128494395, -0.5163903125507764, 1.0364881374628445, -0.608916190359271, -0.8656538735205225]",sucrose
3,mhb99,10,"[3.1662263300509514, -0.3470306960978174, -0.18052541426717986, -0.12538968062673234, 0.7559103108617815, 0.04793249886121258, -0.2619378710910256, 0.3523889619089412, 0.5488870793316377, -0.3032126127166275, -0.3046549448755564, 0.6551643142102653, 0.02009802748380892, 1.441913364351643, 1.50015909135979, -0.4093901970848503, 0.5012789681957605, 0.08541170583582629, -0.256863418363667, 0.2675593473423951, 0.5589497951059631, 0.10857898640963644, -0.20053316202213164, 0.27602241717422815, -0.32788529544109846, -0.12595466548432777, -0.06108968271291336, 0.10076571572993949, -0.21685453967673635, 0.02857525629219008, -0.2885460764045128, 0.07377535856810791, -0.06908320350493635, 0.15502755894929593, -0.1509853050444685, -0.20378773956005972, 0.6985444441153131, -0.44947537004765864, -0.20867315121316224, -0.35204587700905404, -0.35528466221311034, -0.3441331404964402, -0.5889003343543132, -0.023928753801491915, 0.2939015897647226, -0.3892473988581699, -0.2121253051483315, -0.12524951478841542, -0.3741023443948578, 0.22346932539322847, -0.3129284742867588, 0.2297048851404005, 0.49645510682918076, -0.30919168054280255, 0.2319052586795756, -0.34635168071467504, 0.058995149215607154, 0.28338846389442346, -0.4778846039999148, 0.4236593644545925, -0.01552290301214442, -0.32877429552424686, -0.22425692285797186]","[-0.35881660698267026, -0.09816314477201929, -0.13454650372478774, -0.3435654203511376, -0.23933102524072883, -0.28940269534763186, -0.19566967215833786, -0.1080713309891087, -0.18152479885148706, 1.289977962778632, -0.022361094272149825, -0.16154425500324204, -0.1545967353711716, 0.23049628710684436, -0.4849770202187331, -0.3107399935360902, -0.3018681709595377, -0.3041912131212439, -0.42338558624164424, -0.428490554369381, -0.31903029720994164, -0.17950493574132526, 0.091133283839955, -0.18763965644344327, -0.3048656626620871, -0.33370615615147364, -0.2942159104081155, -0.09662814493617362, 0.14484537381313273, -0.4336129487092315, -0.34035694810313694, 0.969998140602156, -0.3344121911133781, -0.3657151459567284, -0.4287672588282475, -0.4379916805832709, -0.26185101736732225, 0.26040332083139484, 1.265257799588775, -0.4615304877950454, -0.32985341162932263, -0.31353323636613395, -0.40703594992320025, 0.5601790600226195, -0.47906590825146983, -0.5115183599079871, 0.768598987818075, 0.18715394446175038, 0.4481164216794253, -0.2758358596780223, -0.20795264436840885, 0.00935760262305451, -0.392274672196961, -0.27897840385194367, -0.30533564730983775, -0.03869353862140018, -0.33030408992564403, -0.3076798550708203, -0.42227003169818156, 0.1588363232661936, -0.3342080635211683, -0.44855611169646126, -0.12135635197532327]",sucrose
4,mhb99,10,"[-0.2004849906360325, -0.44154071554950397, -0.27111728015673286, -0.5154046327937905, 1.2951251881008512, -0.022570239462217624, -0.3710515904987745, 0.721881036908574, -0.27740493605935307, 0.440119159608632, -0.18990912565542722, 0.3738832497763574, 0.6080912073326495, 0.5070916794280658, 0.12341126043874097, 0.139598858904642, -0.3725372131513455, 0.6335226362849401, 0.03521930753058915, -0.35269545997699703, 0.07489969372834503, -0.5258168945574964, 0.6043384216806743, -0.015618729132197232, -0.3666089549022601, -0.21300168087217827, 1.0073773743519423, -0.051305290261594645, 0.27289152356970625, -0.04857387535778606, -0.2794176719540959, -0.5072904459883121, -0.44895805384149584, 0.3382445555502495, 0.7287717865057155, -0.061357085098888896, -0.239860537710815, -0.6122615487153251, -0.36824403683081586, -0.512464554005738, -0.3715193918932321, -0.07872173836182367, 0.0071211838673666305, -0.22710649266193725, -0.3243509936660413, 0.44566916344323293, 0.13270259882829374, 0.2134227766268097, -0.0868529708760968, 0.13675308351753393, 0.3637741482221715, -0.24411973324433023, 0.0377642385849744, 0.4655281761074152, 0.042229697887885075, 0.7351195742802586, 0.741783675272506, 0.3940412524458462, 0.15588273637819788, -0.4975282286511324, 0.670140132601196, 0.11425949710871558, -0.848145172268936]","[0.04520515142279651, -0.20624154264902245, -0.24802660843418395, -0.23282878942070984, -0.24935114347914822, -0.17771469210301116, -0.11068301579121466, -0.4111692815800777, 0.4069971493281232, 0.10909910937402922, 0.09365257948555157, -0.3267745281368917, 0.04480780063448914, 0.49430097621437225, 0.15966306132510413, -0.35449729594119406, -0.23215246339726633, 0.4438713167968894, 0.10107302813978035, 0.041191140630605194, -0.1328017757857927, 0.4696033158313083, -0.30901546973542854, -0.4280653342153924, -0.41136811326041406, -0.19562634436601498, 0.04884665262659658, 0.44889341918280407, 0.30323567408587676, 1.0027919099980185, -0.16941169804724554, -0.12607623303279433, -0.21504935433627184, 0.22831364155617245, 0.023114262905190332, 0.4423040195008733, 0.4923878992505155, -0.19325494774488142, -0.3472504224512306, -0.4465376093635008, -0.27668234435961236, -0.0627871959879667, -0.553648877180259, -0.18240803016375098, 0.042557787402963655, 0.4555197217912008, -0.5005771422564864, 0.017435178811822404, -0.31480290611248785, 0.32607565999820787, -0.4630446244471953, 0.3083500396268693, -0.11297059418804174, 0.38129863813217846, 0.1753243968227867, 0.6007233398031874, 0.2825460654720419, -0.34681196598051284, 0.5300949500967194, -0.40884858901914223, 0.8016650347136576, 0.12402044685626532, -0.04861380997856992]",water
5,mhb99,11,"[-0.06821266241056126, 0.9137118028033069, 0.14959586119209586, -0.29555693057410576, 0.2783650690474903, -0.24322912813032335, -0.24033205554077344, -0.16518356227308764, -0.06869656967403895, 0.33051756828136447, 0.017342019909399382, 0.7300862706175947, -0.15527559754962114, -0.6971286973363623, 0.3236570999124133, -0.14805778188186441, 0.2590092340450894, -0.3945845411955178, 0.41456220609522176, 0.8316265303682643, -0.16214543915486215, -0.33646689951334713, 0.9788853403610417, -0.013312697973868103, -0.028554907202575884, -0.3067737851740524, 1.1456957324620354, -0.3624966016411647, 0.6511523897433931, 0.6914294150985146, -0.3089773760380116, -0.3942403806061437, -0.4977651870016364, -0.1319134927563062, 0.5101670198250478, -0.48672576271094165, 0.6925845400795556, 0.3823521273979881, 0.31790388850253815, 0.9275377641131205, -0.9013023344097771, 0.026346152826177784, -0.7875182109814773, -0.027054639101969657, 0.674542986030208, 0.4328680890331069, 0.5926727299940758, -0.4378754364260252, -0.5151576471005963]","[0.5252911695851139, -0.23895831478194463, -0.017898438484790776, -0.5564945724537912, -0.24491119979373693, -0.2826013413010179, -0.33302912994001804, 0.2566792672382533, 0.24044148188270872, -0.041540226372940636, 0.31291343156236906, -0.10380858747417272, -0.423976828496847, -0.726033673351785, -0.03365830619128901, 0.04558020046530245, -0.12474120449602201, -0.34188313240505097, -0.39738811944171776, 1.4858699391369576, -0.3859904052298324, -0.09000497899096166, -0.4107822147606401, -0.563631043916824, -0.21514331069955964, -0.5159929320809886, -0.37580488454360783, -0.4139013503023392, -0.05144907879546313, -0.2719422170780738, -0.570738453925451, -0.711874620723203, -0.14001317708375594, 1.3208102381630802, -0.49125728966251314, -0.196859416782409, -0.3209759973801078, -0.2213620864222909, 0.0345702079938416, -0.01048784499715527, -1.039703632730423, 0.5837106339423662, -0.30291717639299, -0.20894152572525682, 1.111880534418276, 0.24626330903247876, -0.4964365131980287, -0.40564374974267803, -0.6513577591509624]",sucrose
6,mhb99,11,"[-0.14282972990485734, -0.06050593413450244, 0.07471646361070311, -0.1509148582387738, -0.29923231199990363, -0.26090503850832514, 0.5781169875121642, 1.8829741639761852, 0.15044668484369264, 0.5005779005658574, -0.2556111581980311, -0.0963550893036892, 1.4139223153384683, -0.35253242983260247, 0.0779935543768942, -0.41462263885926653, -0.017330977883570364, -0.18518870443297586, -0.06045476907131085, 0.725030564366248, -0.010491808046270094, -0.2860526967205435, -0.17175600971784813, -0.15392742751654534, -0.11727110123722823, 1.329060839246346, 0.4682566525215558, -0.4821529093182212, -0.4257643369804797, 0.8483520503030525, -0.07057543409533087, 0.35059766017300054, -0.36446736044469874, 1.086452520129094, 0.07732748897009804, -0.4218087043297445, -0.3201608434214608, 0.17383183612194458, -0.04182173879547478, -0.2727737905016266, 0.2188687878518812, -0.2413112450209629, -0.6254733701091428, 0.23691325206651884, 1.1427006997215043, -0.061252379791370916, -0.2939563015557053, -0.20733878036613332, -0.280522142785926]","[0.1858515452300856, -0.18008663010077433, -0.22479521135545322, -0.4145921408153321, 1.4564257053049612, -0.2937270933628293, -0.19156605827359943, -0.2505080395832218, 0.6790452853697241, -0.21823905240682467, 0.6939599134328919, 0.07214562693122797, -0.32131105285046635, -0.1492921503915211, 0.3302409774379938, -0.2520080030810227, -0.28166649096877233, 0.5776121798345449, -0.25809558926939935, -0.18131369112690715, 0.10380136276151883, -0.25324365633151735, -0.5742682834312527, -0.41492061512573364, -0.3667364272215087, -0.3565488060565407, 0.34377573345638285, -0.08110019013364198, -0.0010147111251770924, 0.030136610856729543, -0.3296686334123919, -0.3597022791554532, -0.2868483462850874, -0.036318266633510954, -0.20984980983197288, -0.33423511275372664, 0.09457340065229673, -0.34837024957079993, -0.263476973871127, 0.06738432162517471, -0.6215140551398113, 0.31817887890601715, -0.47780101619410464, 0.07540983124713023, 0.3299809551115502, 0.7007337068381155, -0.39351047915766896, -0.7895416266050664, -0.5779808265501305]",sucrose
7,mhb99,11,"[-0.32872177630900806, 1.5972460374655837, 0.6935274666185265, -0.2331140086082559, 0.03399763265303128, 0.3904104433856178, -0.10127698803826773, 0.030732012898345422, -0.09341209613627442, 0.3829872587370882, 0.2770503651152741, -0.26547387847386755, -0.2101293088448154, -0.03723183235597796, -0.5130940596970589, -0.28502724418435144, 0.4558129085645757, 1.0183349280705158, 0.0671006550501111, -0.35669528298121156, -0.12128193627051603, 0.6588780541920222, 0.12118563913218808, -0.24186401633437868, 0.04512982478057089, 1.5311592210900982, -0.31219971340137914, -0.31155201093056445, -0.2765145250308954, -0.25270341879719266, -0.23321852401412702, 0.3929016184617703, 0.7272284456068293, -0.19400684826856543, 0.21755071009993937, -0.22772795461812467, 0.5321671092662777, 0.857714295779445, 0.015297186088546058, -0.1419240061449932, 1.2307108821755905, 0.43115740273998376, 0.7026886885039768, -0.5229349105747676, -0.677926567010276, -0.1080866067467607, -0.43841963958368757, 0.20336513638931816, 0.05794903361760418]","[-0.11252995693851411, 1.3107706527356717, -0.07932651709949888, -0.14726329881501415, 0.9541881095280171, 0.2751058029944901, 0.03909152429959665, 0.05006392797305158, 0.8090439044131612, -0.26973987310822767, -0.23632829203602956, -0.0987967047111593, 0.11942382338184634, -0.17138470799595604, -0.033508583866449344, 0.043836139532587984, 0.19132791501049506, -0.22238934790998868, -0.3599711800309689, 0.751489527028728, 0.23820519610632235, -0.1773043197028695, 0.14260982030654223, -0.3405931993077891, 0.6032258514280806, 0.19229899303697778, -0.11576740447005279, -0.36379128374603026, 0.04155201561424925, 0.5087136561532936, -0.14231199730855607, -0.18382286541350376, -0.16276786298797, -0.4072971474065173, -0.19072543530319588, -0.06478284486717052, -0.4692922717896934, 0.125758244561457, -0.2100083012403914, 1.048112260653137, 0.14837334406872751, -0.09787009500537885, 0.08107379730777674, -0.046051317821107024, 0.4211494681578758, 0.06215455206889431, -0.03662589107074354, 0.010475743463720304, -0.19346686178250025]",sucrose
8,mhb99,11,"[-0.22518548059988305, 0.3502725541401192, -0.26138345141630737, 0.03163261411641651, 0.17861074160176788, -0.12843400950932277, 0.12293639228800257, 0.24665147167603457, -0.0035173379524023906, 0.011459150267617998, -0.4894014151521844, -0.2025359068292617, 0.08083739704407474, -0.1966807987448451, -0.22863969899860975, -0.5788615689974353, -0.37038005524518114, -0.42602914068496717, -0.38272070103669736, 0.4461318763361831, 0.3651258756437315, -0.3041757532816738, 0.5230737838207601, -0.14008443892188072, -0.07054820682808446, -0.15972469412746615, 2.136805925647632, 0.7673571108975347, -0.41492338201261664, -0.29550318645521684, 0.235590340612314, -0.3444858481232197, -0.051069850122634014, 0.4029492032116769, -0.49017813874414123, -0.049718888771488286, -0.5956902781272602, -0.46390152442318433, 0.7948625557978406, -0.4793188437989165, -0.41407885862961374, -0.12617384631788162, -0.2431683268729047, -0.13852179334463685, -0.2172333092776357, -0.14923194443080945, 0.751244134259653, -0.317751468316496, -0.6570158410899015]","[0.294430097677125, 0.022427630348991093, -0.24999353203393102, 0.16524456244403385, -0.14883308669308498, -0.20163568520887584, 0.4462142851094145, -0.36699675673167864, 0.5831897349275843, 0.21897882586578268, -0.3816395391265282, -0.2285797225270038, -0.4144020779636439, 0.09397732252116883, -0.09079001425619944, 0.32977521714379204, 0.4577700428247313, -0.40766906204930964, -0.5524448683354726, 0.31278131391850983, -0.4664124115282104, -0.2503098764049895, 0.06363752029454572, -0.23890497189015206, -0.6195803764796683, -0.6787931142147394, 0.4300216416267975, -0.41814438292380673, 0.3990695753664313, -0.08317608691512964, -0.7319559384448092, -0.5627530352166945, -0.26875416586356676, 0.00905417425322749, -0.12014461257264913, 0.049477752560266805, -0.2611056460206048, -0.6236794865410206, -0.42644290459352074, -0.1103487904437207, -0.3525284873382375, -0.5754122240405131, -0.08580911578394969, -0.5764223519221813, -0.0467545751568864, -0.1877268662438616, -0.7996391125210043, 0.39940789722896197, -0.407876162741504]",sucrose
9,mhb99,11,"[0.5303685580514612, -0.3161939484634692, -0.3699558306987923, 0.22229169027385412, -0.27630510660205365, -0.21774857418795135, 0.649926987340184, -0.32725445468954106, -0.33715588957079623, -0.024572150656484007, 0.1189111854272843, -0.07048693430612292, 0.26441032462350844, -0.13885551595288076, -0.32295995272958816, 0.00917375885816025, -0.36561756676224405, -0.43996134138014653, -0.22054705399516478, -0.1562768589198503, 1.1305668910617195, -0.26080341922741845, -0.38122130434212725, -0.4401505139029366, -0.5497353808471054, 0.7214008376085639, 1.0995819618356237, 0.22456753326609213, -0.5130191185776518, -0.1437837233602569, 0.3033317313392123, 0.4061912696298665, 0.17268352217289445, -0.02562258251188092, -0.19916397689454476, -0.3792438506141675, 0.22204980465153043, 0.2778761872427273, -0.22075554915657092, -0.1544273519094823, -0.012453288095584962, 0.2152537804567125, 0.6519042007627538, -0.2845494403280908, -0.09179039956100198, -0.39178855726354644, -0.0788223534817893, 0.03425517473970329, 0.07876516584397225]","[-0.2659734052959973, -0.3468278401427891, -0.324038773198705, -0.40875795749099897, 0.9667900692255317, -0.09855038368932208, -0.2656864788256418, 1.0173295036503285, 0.5194141110580933, -0.35450079894779, 0.5737887865552842, -0.3403856212029641, -0.35918569222608043, -0.20051308377062257, 0.15087189503578594, -0.5650757973874838, -0.4940520542177414, 0.2756997143844049, 0.5270493755440294, -0.20909158167492473, 0.7043701168469162, 1.1519423013139056, -0.6115337831694896, -0.7792191848612013, -0.46075850068348406, -0.30718139031882774, 0.8116947485118923, 1.4001469031134808, -0.4100656773524396, -0.06819630187946674, 0.11579829628689509, -0.26501354957822937, 0.5517611243663625, 0.14450689039678366, -0.7193257214857887, 0.057139764244551666, -0.4531498031865762, -0.4736829699923341, 0.39244308185713184, 0.3720661944213379, 0.04315969436313811, 0.42146922911596496, 0.41108428963573806, 0.22154279977634161, 0.6628331018849954, -0.15449378769804814, -0.35611181897741745, 0.4838412481240707, 0.09819379373215968]",sucrose
