,mouse,day,tone,post_tone,trial_type
0,mhb99,10,"[0.137972335025982, 0.27530785296145643, -0.17949830361832864, -0.15528275595467375, -0.2270695003501403, -0.20678397461270798, -0.2518837088485612, -0.16091714232290977, 0.30933780591187454, -0.2479741062770645, -0.04110287252340938, -0.1779701833090166, -0.31410140013635146, -0.2964415889589344, -0.20055424835181612, -0.2659079641266843, -0.3276411494949706, -0.1716765088002603, -0.014511106394534788, 0.9711269649270393, -0.398576284386679, 1.009966559049735, 0.7456958194317996, -0.09204887449018528, -0.36467425305559004, -0.4502352711503477, 0.08374250486881227, -0.3447645272587877, -0.2827050612731164, 0.23593947300227372, 0.8129424832248435, -0.14899453808685595, -0.1144964348377772, 1.4425989046617198, -0.3712742681295597, -0.25565525500731434, -0.3503368428676221, -0.23018572746502058, -0.36298259247228887, -0.1573261669933612, 0.4288380269420628, -0.21838512161021484, -0.22325387205935315, -0.3741466399409581, 1.2110663378057502, -0.6089610677691689, -0.15482722184381867, 0.6688409543365017, 0.10930327354169601, 0.39463570831720723, -0.3973922407356553, -0.2830803958897153, 0.06446172688321306, 0.07783119928602505, -0.1034317132118593, -0.02377455097192868, -0.20999284576280883, 0.04542064124434703, 1.3314211123398176, -0.2568687423048658, 1.572636339471142, 0.3624825278989713, 0.0392075397222061]","[-0.29081903672866294, -0.17601505518440855, -0.20922936030436606, -0.11499482745920561, -0.1809734295718791, -0.12210805420340977, 0.10552644214003089, 0.1857397197186458, -0.2872338817300838, 0.36356960723296056, -0.17893716929673065, -0.3031094249563524, -0.24714248325863322, -0.11981909751632155, -0.1722181881339412, -0.0035156423760579866, -0.345942965185695, 0.46798067109877867, -0.5413500886186071, -0.35242197445328377, 0.7474918237068023, -0.2749735025013601, 0.9283560635515072, -0.13995725440334197, -0.10507599088758456, 0.3732644748805188, -0.3992447592577487, -0.3216855933363479, 0.29657751124966897, 0.17351749537328742, -0.44061738556374747, 0.5259621912833903, -0.2008398380428647, -0.4072966709477328, -0.36684281976954936, -0.21545470364337, -0.43119971646840244, 1.200709805935773, 1.2683852823856334, 0.7980542285833347, 0.3497872096339554, -0.476857248624312, -0.20611942249301848, 1.0586240594923655, -0.6318775195728903, -0.5567206117838063, -0.4615257578863317, -0.4824386013012959, -0.33062213314746935, 0.009716542079299438, -0.05700722541838482, -0.262844871171321, -0.050593551523806055, 0.15319498694568795, 0.040158935451914596, -0.045732947789305416, -0.42802914137711595, 0.0014563599520003483, 0.14090594168184942, 0.7597470009567957, -0.17268327037218426, -0.582250782043231, 1.21395120173154]",Sucrose
1,mhb99,10,"[0.127382462578846, -0.1995720879866063, -0.2345876328988261, -0.3032690840986153, -0.19927337158463787, -0.16900719814664636, -0.3215067531668342, 0.06465688769267808, 0.04494566005699064, -0.306519529700847, -0.1880298494881898, -0.11370953002107681, 0.7820497826948037, -0.3345078339261259, -0.15548770744689658, 0.37254303870644, -0.24877080061014317, 1.6714258434550409, -0.20363154635417294, 1.4230411110227248, 0.7304325112890471, 0.5892295721945842, 0.10142306750927166, -0.36979806617580524, 0.19315443066693566, 0.16843013597706716, -0.02043006414944357, -0.04649669588206039, 0.8515025663921297, 0.21524506434221716, -0.3994437356826235, -0.5366117619736676, -0.20341817782312607, 0.06169474488335363, 0.17580967598363317, -0.27314239890238234, -0.28861691327875405, 0.013582005738386829, 0.06872438976585259, -0.2569671625187949, 1.8792028736103823, 0.6339287557374798, -0.0008393806431618771, -0.350728785271175, -0.1564090246013905, -0.10742704057179259, -0.43068019920450573, -0.468764204084866, -0.29598649196313176, 0.17129840017599537, -0.42740203426843354, -0.6373009727174519, 0.046433934653329616, 0.4219383192809725, -0.08703619315803034, -0.24254495394669282, 0.08573389654001491, -0.3881001632369875, 0.3740142294099926, 1.049109765747379, 0.2085095042722282, -0.20228216003592292, 0.5052247726544078]","[-0.3208040429668103, -0.2108915004270712, -0.19105128412642894, -0.2822305380784237, -0.1107171136494418, 0.907708306330085, 0.7210746351836703, -0.40810063673367747, -0.0364272470278037, -0.14568021265616102, -0.043631712371084284, -0.04665365213968608, -0.32128433153794744, 1.5727430471973154, -0.2553058016325741, 0.3805793694385014, -0.37358512935525573, -0.13025858225564835, -0.2724898018418395, -0.2832930100456589, -0.2869055600467447, -0.4239432884801116, 0.07781441113441993, -0.23161397853733545, -0.32318407153542955, 0.23909031678450013, -0.2282619433930569, -0.6067062769864614, 0.6211661900908703, 0.24364758642848394, -0.3303584709004944, -0.24008589148870207, -0.3313969831417247, -0.40651677091421645, 0.09773886100203766, -0.36200797602757095, -0.18201914208854938, 0.6948316781362526, 0.7069212735607443, -0.33449637725148823, -0.0697936035347933, 0.24237722089916192, -0.6218734738157925, 0.127299967224473, -0.4076441569011329, 0.41291570245528764, 0.015043528263467708, 0.2581370382593575, 0.197612234703211, -0.33741531777801753, -0.14138948117387773, 0.5606786929552469, -0.3244039300622286, -0.004683626607205553, 0.39948539574609004, 0.6285751840821822, -0.30164794189101707, 0.15057442272165966, -0.11789606601680303, -0.06476257367805133, 0.01652231658575493, -0.19280350334870253, 0.5585279042835063]",Sucrose
2,mhb99,10,"[-0.08917909986510436, -0.37276409706877867, 0.48240454894828794, -0.41850990766743434, 0.4905591275691108, -0.20318587681960498, -0.44904636616938715, -0.23067083146169906, -0.11846443316636522, 0.12168541949709244, 0.04989861069050112, -0.3743268961159245, -0.14315470936736635, 0.3186158406799473, -0.009777665766048778, -0.5983071811770094, -0.24388198934366273, -0.288071906820801, 0.09819959814141466, 0.5539888504727759, -0.288507335913149, 2.21994149400879, 0.9033860931565064, 0.2583327163405343, -0.3025705432582081, 1.0492332657435472, -0.21236855489687895, -0.6040476968356591, -0.10651206818434222, -0.29549056666646495, 1.1411765805099605, 0.024328847206961466, -0.2423370682784039, -0.08648888413149204, -0.46403202757381723, -0.21660956619043323, -0.4408418185432893, -0.37024548330926005, -0.3748384316910474, -0.41108064590000043, -0.25151155526956726, -0.29301818534458185, 0.5018640175033113, -0.3515553489177222, 1.1450366448603027, 0.6307820888624974, -0.19096859727449914, 0.1499007271598892, 0.2666788605644969, -0.3727056051585995, -0.5806764083420085, 0.20445612500640212, -0.4057936473710604, -0.549989870634593, 0.16092226282842978, 0.01456389959526445, -0.45529106642558786, -0.03453115513381205, -0.3832990249210344, -0.7068975933893331, 0.9155143537514918, -0.27088798785887364, 0.38767435767435426]","[-0.09408330648967034, 0.09035105264042927, 0.15300321171262146, -0.30606026823216714, -0.17535802234014186, 0.9146379146242859, 0.12107952196918845, -0.2308411401490344, 0.6271619379925483, -0.23208884385246287, -0.2047611129806654, 0.20042602451638414, 0.4106057506749176, -0.1604288561898115, -0.22504078473971512, -0.4906937402274179, -0.3154836441552993, -0.07524335242208965, -0.05867328635298187, -0.21299585049073405, 0.5755583067654786, 0.5026072420930403, -0.6292365383552161, -0.1606242924509293, -0.32802201379627727, 0.5549364489714991, -0.016451727973463334, -0.30018028236613126, 0.21831343598399508, -0.20821572991712795, -0.311524429787398, -0.07364688327248045, 0.07056391283367737, -0.29227791409103165, -0.33924434868106246, -0.24987955166200704, -0.36715075020269267, -0.33628941239472987, -0.2918659279698288, -0.3632924333038805, -0.2874919247879695, -0.5754037357941114, -0.4824672584661054, 0.700647054111853, -0.019877010626238936, 0.36605567897956465, -0.35199850561762003, 0.23162084757871862, -0.17557237827539574, 0.10677058726126312, 0.557970492640323, -0.08131728752950672, -0.4343460090268861, -0.34948057372639185, 0.1444929528639195, -0.2529108120058435, 0.09882588905728588, 0.5806135056685112, -0.1597948113845748, -0.39004312411645536, -0.15205119841358086, -0.5170308986919183, 0.15393586009761207]",Sucrose
3,mhb99,10,"[0.07553874331883331, -0.34711744611781603, 0.04298856863469599, -0.08307456737335699, 1.526947917590709, -0.3165202632039109, -0.3533731351178978, 0.04231644539890246, -0.3597335735836381, 0.6273132079053827, -0.6126833327574981, -0.20218787250642115, -0.0016189833014014833, -0.408371696543899, 0.036047724935434525, -0.3110825923223407, -0.3174389576596375, 0.15013013573900397, -0.2695544424325598, 0.762040974453278, -0.25180698997325857, -0.04104698710908173, 0.2445795185438145, 0.08616283086998937, -0.6351126565308517, -0.09252509404489549, -0.04626849249503841, 0.32061664577682836, 0.6527494772364236, 0.026551913636678675, 0.018753079558860478, -0.32247871930258903, -0.3232416865055918, -0.44924087614202457, 1.1536187287699533, 0.8999259779360806, -0.06528206348454696, 0.09647036258129404, -0.6616965243667279, 0.04666430438340923, -0.16131048422577243, 0.870783491919101, 0.018430232300136497, -0.2997317895554958, 1.9385426478699141, -0.45734647902013226, -0.3905004675811054, -0.4482732505784607, -0.43176618123654253, 0.22368146245430726, -0.6035696531423218, 0.38620309572601624, 1.298369401799607, -0.4676101969759095, 1.3095377191965651, 0.33642712144669124, 0.11494902754226992, -0.305307658576686, 0.5204949408072334, -0.7632735774533133, 1.5351859076168237, 0.22332746088247965, -0.08137846753853659]","[-0.26579042618736454, -0.5234285863984846, -0.28238015076736334, -0.015489833406206008, -0.25829798812600374, -0.20658593482729992, -0.10777614478268374, -0.17385759586178323, 0.7422332065416462, 0.0037033443761407088, 0.2143603981510206, -0.522349392858074, 0.2899682704592462, -0.23827380247211563, 0.9651801066165377, -0.43667417278517207, -0.15814867293071597, 0.20182393030426, 0.10747646141296971, 0.1436525384057001, 0.48115730695871034, 0.6140347353507739, -0.2533010649515877, -0.436597223022508, -0.6364503991404219, -0.3580057849218619, 0.9134908457773263, 0.6714403820512521, -0.1789442572695068, 0.01544629463120255, 0.278782263005802, 0.461599847911772, 0.5424128408946485, -0.34404091764343725, -0.4015125434722163, 0.027746053408080264, -0.1745495158829435, -0.5222793675923378, -0.4919077855596913, -0.17453773702233188, -0.32948414783580465, -0.09060511020004244, -0.12080462189301978, -0.37709544496796904, 0.02358469694424503, 0.005458523091940085, -0.43731950525735364, 0.03612487172170653, 0.5240452184105756, 0.01807705184011887, -0.1305938430921676, -0.19632744600695984, 0.3063075476534317, -0.2626407342589708, 0.8602501099037754, -0.2587226895765049, 0.839808298944477, -0.850880765370381, 0.184759027837722, -0.45099779484375524, -0.009587360909968486, -0.09347574313698558, -0.05770821902022641]",Water
4,mhb99,10,"[-0.40854086923561944, -0.06965101087479877, 0.6389233570436851, -0.6537912953113636, -0.1085633172982586, 0.45101006968277174, -0.38122362156522194, 0.2028661937468003, -0.39636093897099345, -0.22221358734340993, 0.3276326051631434, 0.25877032518656995, -0.15188907342631103, -0.5481020081025683, 0.3561382447623253, -0.11125508668492542, 1.1924086614361347, -0.5059515221508553, 0.5681046249955334, -0.2734285710850176, -0.2507289275829597, -0.15529728221537764, 0.1976730776076281, -0.11919983915440417, -0.19568404584190505, 0.41888346787560565, 0.9532892091820163, -0.527506986998804, -0.4348357212170697, 0.5793439069095326, -0.1950223989043373, 1.3183086751596278, 2.1735456867702143, 0.33675617007737885, 0.5742946600777614, 0.27536173737072067, 0.30645451203103186, -0.4879684502323367, 1.2167847419574074, -0.502077820338267, -0.4046783630188063, 0.2644657366527023, -0.05972208279942531, -0.42324685237408965, 0.051382234107039466, 0.21073162999560405, 0.2600662843155402, -0.1235829346062817, 1.1039533603740264, -0.063166635002279, -0.1818206447403204, -0.2729155082964702, 0.09279777462228504, -0.6453705365035711, -0.31994293796358114, -0.3363032699187997, 1.5180956442024323, 0.04106896888906751, -0.23754301216073997, -0.6166807119669814, -0.04570056956308134, 0.16689398667722, -0.16461516196419826]","[-0.1331386913786126, -0.20252123743842887, 0.026431432858823933, -0.20664008181096102, 1.2142051258327857, -0.33675799405393664, 0.8074786262816245, -0.08741216721036417, 0.3240315601481693, 0.4039610013048931, -0.43692460364432595, -0.35557612184985915, 0.5940950777107622, -0.23644512774071158, 0.02408581225064445, -0.6517883919000709, 0.2902819940579605, 0.13011153411526574, 0.4839219902597494, 1.1562963843397278, -0.1026525673935132, -0.04476976163218767, 0.1596601244423885, -0.11278361059929334, -0.4452903879295513, 0.3510647856675486, -0.0807244581091381, -0.14020797656439848, 0.07309860253726642, 1.1223218519423812, 0.0011441951647876663, -0.0063570623377676464, -0.017209887033331192, -0.390867093144648, -0.5535585809560786, -0.28143749616947544, -0.06812564309766309, -0.18266430308141984, -0.6356577079879605, -0.1764872175261775, 0.224435866486731, 0.47155693504593943, -0.3496348255213905, -0.23867885500246797, 0.20983395101955388, 0.15425919095796228, -0.5049045044576121, 0.28335666499972134, 0.07676701866006463, -0.23441404860932638, -0.25297815825568165, 0.6346249246106406, -0.21377208388405544, -0.5606608924120672, -0.18529835477184803, 0.09434133691806909, -0.3128166688271045, -0.17102769404931722, 0.5128803789562411, -0.13440251919693996, 0.18568622097533627, 0.15102803150684196, -0.30512858201513593]",Water
5,mhb99,10,"[-0.36826676522491364, -0.22240191023652628, -0.14634565134558256, -0.2837381753106209, 1.1865152553445102, 0.4741075610691174, -0.22909054736637346, 0.054883152807920804, -0.17778894582226765, -0.08996120109646571, -0.6045222708312145, -0.12370254252572525, 0.2036381541281769, -0.1578501211806854, 0.07876930126367661, -0.4624749773352531, -0.15975833949425644, -0.19203974328783685, 0.0016059251637633829, 0.05724777989675331, 0.2896046589505304, -0.07931303819031638, 0.2986021134829758, 0.5391243098300363, -0.063697276380252, -0.27248138107300995, -0.10059618579064851, 0.5970991256559004, -0.26435808048099424, 0.3676606553609694, -0.1512085542821304, -0.41052010951464096, 0.9419202857836112, -0.290768991727903, -0.3755835460608665, 0.33000986899097223, -0.20777072423970624, -0.41390754172940075, -0.30661646816136434, -0.4860306685889703, -0.2754232257811029, 0.0919361871342528, -0.5590806082249918, -0.2890737786938016, 0.09772440358602405, 0.2724321536409629, -0.2736523002106627, 0.4223233439121718, -0.02775743180165057, -0.14235797812871118, 0.06551724116021271, 0.29557968130051454, 0.07835524145090414, -0.47115039070201303, 1.1367883123599642, -0.2851495575890044, 0.44680887131040703, 0.15115754523699915, 0.1452498389090263, -0.23263419463529855, -0.4756256538042644, 0.32590404420742114, 0.866748127276123]","[-0.14573076290372025, -0.20634857813032714, -0.19992883424263527, -0.3524699845148539, 0.005470944604274278, 0.20785695214172376, -0.19911514393380397, -0.12091108439732667, -0.040435791257555954, 1.1362524785980979, -0.48044657858551504, 0.023683590066387202, 1.379356215301888, -0.1766800290359579, -0.13710239504437657, -0.6420761813319313, 1.9220085513922056, -0.09695887178822077, 0.055391200013110174, -0.20952056586295387, -0.07397808312738623, -0.07858259253559624, 0.42293782341431985, 0.028768442853342263, -0.19051735653814544, 0.06418034018910332, -0.0839909311142959, 0.11198993178623134, -0.2434101426837402, -0.25274021066990865, 1.7492061319005874, -0.14346812379545887, 1.5908641271250012, 0.1833392431592118, -0.15216796732842222, -0.627720181388115, -0.0794205918970153, -0.6573397583066588, 1.245015490005362, -0.40192999182851047, -0.4400152384312037, -0.25614376578459197, -0.5219361551606156, -0.8386669434975262, -0.38723961156102815, 0.3405615482788898, -0.5642416851541544, 1.4882753059027585, 1.2568546376351324, 0.3121926026449018, 0.1362893422204795, -0.0842295060754246, -0.5535764824765819, -0.6960211641707061, 0.01348185496975331, -0.4808686612223509, 1.0995295393505204, -0.018975499852504157, -0.4158031545152237, -0.34689923961764896, -0.5059347724803762, -0.10231997371606102, -0.5943578975068472]",Water
6,mhb99,10,"[-0.27172264859036227, -0.21578349786104964, -0.2093575300748495, -0.2708448656438715, 1.6586375599482166, -0.3082061477012365, -0.4109695221657137, 0.46297862746930396, -0.2032450938358042, 1.1993044845683367, -0.2601000715770051, -0.021547286937162135, -0.27553642304769516, -0.2843768920941275, -0.20125611557260092, 0.027598785599804453, 0.5231144925335608, -0.35762570734019405, 0.3259487422461226, 0.17694942500124045, -0.2897601899045308, 0.011082659740937926, 0.645339092076211, 0.09538907653556841, 0.06122715096070118, -0.1813627322919609, -0.2360504323312913, 0.6843102155652055, 0.4420548780233835, 1.2885376737020524, 0.5155657565749366, -0.37820872278578693, 0.053494247951037424, -0.19721128934901427, 0.5662139468762715, 0.43119541297649655, -0.36256848759505217, 0.27359567778437677, -0.13872999927791957, -0.12342067710436487, 0.855470194341839, 1.3036950008603316, 0.04621045719956559, -0.5048096274480456, 0.47071689013467694, -0.42933388788393834, 0.33109998416790426, 0.27292735524186534, -0.36196225235485785, -0.19025149872899583, -0.012820758087711, 0.1594326581800273, 0.10550820710287231, -0.2567598733417312, 0.3649433583279255, -0.21790609766740204, 1.2470666730576794, -0.334700407778859, 0.946384357592816, -0.5073929553939014, 0.9160560865845222, 1.43242946951122, 0.17094100330809356]","[-0.13981429422870262, 0.2654877721916357, -0.22959717381806136, -0.15332595961554768, 0.2905380561707371, -0.3331054225938633, -0.35573358839949804, -0.43896227609734023, -0.22157010480314338, 2.3497491422509342, -0.046184311988493904, -0.25873056831639524, -0.3184194112941278, -0.37351602600644795, -0.39514149309497376, -0.04932825789251028, -0.4209182057835172, 0.039211601169479506, -0.23213791505034923, 0.03295265044000763, -0.3467586445748762, 0.23150346210275488, 0.4805619212898182, -0.16270349300557252, -0.19174458882126766, -0.45030061997294, 0.03658749820498849, -0.22454894219894506, -0.18199654380425417, -0.446488150999459, -0.4202662362990696, -0.21036735997075906, -0.3303169240625915, -0.05936715850339874, -0.047616483012665294, -0.5210722500071292, -0.37414640671648697, -0.39820107569420504, -0.34599039613887544, -0.08774719808204198, -0.3384666942405033, -0.1531306269611885, -0.1464304119028646, -0.553748953100633, -0.3544804169845136, -0.3341706508710752, -0.30963330169522063, -0.06946158512133954, -0.00335534081494787, 0.18986997833775077, -0.2915818078191336, 0.1892139928125337, -0.21718998477735552, -0.10011422150266844, 0.15064812812520836, -0.3538064615341166, 0.49368514223410753, -0.15416821172934747, -0.428448264278676, -0.5157149090113956, 0.5689192645198498, -0.6286932365028648, -0.8106190556395962]",Water
7,mhb99,10,"[0.2099720018888671, 0.5475217390203382, 1.211202508448346, -0.29774803111243725, 0.9968014832860774, -0.03746968167494857, -0.37652552350018614, -0.3092719677443065, 0.49483005084678616, -0.32439751807146266, -0.42189558288287715, 0.05906397780576661, 0.6290355762796649, 0.5524350188311817, 0.08617962636402524, -0.09770527679550807, 2.0222136439089557, 0.17603802617094616, -0.1881796253234202, 1.2977523055565814, -0.2096260951395859, 0.3148969053858703, -0.004521652686657344, 0.4718637456389, -0.3171451995931218, -0.07267369193605672, 0.20558786918090713, 0.7033365408061963, -0.35441242885500224, 0.9346093222988406, -0.41924059213794984, 0.6719324951745231, 1.1094073759965717, -0.10887423675019339, 0.04285076224284054, 0.8119343615278454, 0.08907619592447796, -0.17958151183685436, 0.21195618675754146, 0.129029103378877, 0.025996784214085963, 0.7517499364377851, 0.09075758897150148, -0.5566351185357713, 0.6963791723597434, -0.36617450498586324, -0.5784283079664249, -0.340729485792527, 0.667737965603149, -0.36320097947152263, 0.7503666974499826, -0.846451605153582, 0.05482362125108195, -0.22434648127020726, -0.016074864767308544, 0.004810388445300559, -0.3367199995494019, -0.23347313157467747, -0.20602474365160145, -0.3662250372952833, -0.11045251202402072, 0.1589862118008541, -0.4229618198782625]","[-0.4326247955696428, -0.2976411060628028, 0.15361277665257575, -0.41698528581538813, -0.04530931862863678, -0.35531927648586437, -0.42818998932192714, -0.21633795758275887, -0.16769703121813, -0.22753294136617, -0.11639390537753838, -0.15815730514275628, -0.09738219090342981, -0.20254454302299238, -0.45723866597377943, -0.08164574592377634, -0.38944876395284905, -0.3211220548983958, -0.12371027929628298, -0.0726276453648702, -0.26384942436956943, -0.5263995466244783, -0.07427473204967143, -0.43013847222020585, 0.019842793334863773, -0.4087388115431964, 0.5335842354036111, -0.4023570823646379, 0.6984679335828182, 0.01388979116862875, -0.39476780551545254, -0.15130703065850276, -0.43415913122482386, -0.22292513268786204, -0.23437778250139893, -0.4242206823938263, -0.34594182466830686, -0.3100054036639171, -0.3326415203052361, 3.155077647625271, -0.4152705299285518, 0.012680457222258003, -0.34221008995377966, -0.04071384052270503, -0.5008755743593145, 0.6486372746955902, -0.3250462723249444, -0.38559854445835545, -0.09169936559010987, -0.2922250296850908, -0.39115170684218775, -0.48864443979046546, -0.6316202913733581, 0.0019528591711904322, 0.28801701754722475, 0.3791662668219154, -0.40889076329656293, -0.46344304138170495, -0.22173524409956946, -0.5171619308141768, -0.3913541644195156, 0.033146612398622495, -0.031651410943258386]",Water
8,mhb99,10,"[-0.3171497282899129, -0.28837377014974797, -0.10870126980802598, -0.1278669879661334, -0.27221972348706325, 0.7772484686130375, -0.3814635916856754, -0.2248594587741479, -0.29951716979710885, 0.9099943095124217, -0.30770450021334, 0.8934439488834214, 0.0015020544110509312, -0.2118044666066731, -0.22689021844672763, -0.11236388890381023, 0.7671711152647602, -0.46064280315166356, -0.2311225581405086, 0.6210175117054206, 1.0150780219614193, 0.29691769962385584, 0.5681049354461276, 0.32935282509924824, -0.20928666086070194, -0.34019936020538993, -0.3345978929612132, -0.515603568522452, -0.1611138254756183, -0.06221862064239661, 0.3022056093375972, 0.11280836064846815, -0.349266457737411, -0.4233764109342049, -0.20604680057348354, 0.4944530821536474, -0.08641164499335721, -0.3386377945920931, 0.4758922367716593, -0.2380199073370497, -0.20180041816223518, -0.19972802718654517, -0.01669469399553584, 0.7536303321463795, 0.910162421003611, -0.3000872615227837, -0.3788821737624192, 0.467892359565736, 0.10868812407698226, 0.16954766893344603, -0.040371363291217675, 0.4219996433111811, -0.25643748566233676, -0.37413516250890577, 0.7236221942643292, 0.029438376820226313, -0.14802038063600056, -0.4458354378396109, 0.44076508247472795, -0.12019570232193312, 0.5053251565397021, -0.5061934406444754, 0.616081812554658]","[0.051404747560404265, -0.15602511720906712, 0.6709634590576034, -0.30870889370618315, 1.1130301775323854, -0.3737802066895204, -0.24393983387988016, -0.1970745648844056, -0.2817277107490845, -0.2969334021991263, 0.01817204175500257, -0.13148905964162566, -0.3762864112533893, -0.44062043404453655, -0.18241769760289187, -0.3746734217692899, 0.18103854890800627, -0.4745648813555211, -0.10307585232100955, -0.33609373513974533, -0.3324496373472229, 0.7769574060169461, -0.6008871581093156, 0.610782180687528, -0.1552222274102744, -0.19063962720751146, 0.1706013231669083, -0.6261699301402426, -0.12778453104359203, -0.23526992237952055, -0.4486747969796983, -0.1264173191795244, -0.24028139819018046, -0.26003187777914355, -0.3736274195553286, 0.5536237493646321, -0.4169613583069261, -0.310220349940963, 0.2770359423492103, 0.10252225824348873, -0.4675989726269616, -0.6130219703804791, -0.4326946037284084, 0.7769524471237501, -0.3617259552526946, -0.2578662808756116, -0.2595590638989986, -0.14035909034152666, -0.05365712838427693, -0.38025584279957064, -0.355838015230884, 0.23294817156614916, -0.5282236225563413, 0.19274897262205307, -0.2976914339249497, 0.5393398359166394, -0.14005018267068697, 0.3774108664993402, -0.40730222115436454, -0.502390173097506, 0.5182934686740599, -0.3114933158197501, 0.2939186949814563]",Water
9,mhb99,11,"[-0.4580575100905689, -0.3267341790280607, -0.21626503939320751, -0.2908303881650189, 0.4259372702496143, -0.4965448530525182, -0.3664094249626428, 0.6073530644235775, 0.5952528511565529, -0.3242350894221073, 1.3665953549655514, 0.3434401573021325, 0.27479492126064947, 0.27429406487671015, -0.11663720092225181, 0.2800158780791989, -0.4363838195654324, -0.30017717050372567, 0.060407897225834034, 0.49244367884244045, 0.2010805439160372, -0.34877697410306224, 0.03598261113212394, -0.48321743503050346, -0.07864445874256838, 0.2823554597692028, -0.12541499723535918, -0.22524207649450076, -0.4650045389336927, -0.13096428351771305, 0.08654552272711716, -0.4056951359131685, 0.007856284134991834, -0.13677347173824125, -0.22754070742520924, 0.09735384894270283, -0.2320401348650555, 1.2007738440441795, -0.29020898938495593, 0.41978735256185995, -0.3139448674634915, -0.6024080455844574, 0.5278366453012734, -0.2112018386447519, -0.25705275003598677, -0.9880861870393342, 0.5576897823610574, 0.07878951200280783, 0.16119014057633899]","[-0.21954457726545903, -0.2946671017284229, -0.19880649166526515, -0.4034229490721506, -0.23985445699975072, -0.30742084960588695, -0.21456489675434987, -0.2584482144893966, -0.08638101725120345, -0.062316656593417265, -0.5495617478825376, -0.40979885465814453, 0.34147541073404447, -0.1902989776774111, 0.1767833017872421, -0.01494614886492446, -0.2081082701949477, -0.4388312766403864, -0.3217017503075301, -0.4490626027293335, 1.3826452973053562, -0.34922905137919763, 0.5971225793817675, -0.39823487121074286, -0.33784205348123864, -0.5254992899441102, 0.00015428366958450344, 0.24853630672260735, -0.35251137436161323, -0.05606235352316251, -0.2849228428850765, -0.2628029699591468, 0.10586760899437343, -0.378374852431227, -0.4238823638460935, -0.1939733535395305, -0.38126123950560453, -0.5574767456879043, -0.4766501814533376, 0.19051769205790203, -0.38541078221259106, -0.03991807507788803, -0.42305877731069214, 0.6055504491761899, 0.847886265954183, -0.8360542485372067, 0.24430927445289966, -0.3673567057414422, 0.17052708946545359]",Sucrose
